politician_key,display_name,party,city,account_type,current_elected,current_seat,running_in_2026
"Phillips, Allie",Allie Phillips (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,No,,Yes
"Huseth, Jesse",Jesse Huseth (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,Yes
"Green, Jerri",Jerri Green (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,Yes
"Henderson, Jordan",Jordan Henderson (Republican of Maryville),Republican,Maryville,Campaign Account,No,,Yes
"Weatherspoon, David",David Weatherspoon (Democrat of Germantown),Democrat,Germantown,Campaign Account,No,,Yes
"Means, Jessica",Jessica Means (Republican of Blountville),Republican,Blountville,Campaign Account,No,,Yes
"Blackburn, Marsha (Governor'S Campaign)",Marsha Blackburn (Governor'S Campaign),Republican,Brentwood,Campaign Account,No,,No
"Swafford, Andrew",Andrew Swafford (Republican of Pikeville),Republican,Pikeville,Campaign Account,No,,Yes
"Matlock, Jimmy",Jimmy Matlock (Republican of Lenoir City),Republican,Lenoir City,Campaign Account,No,,Yes
"Lankford, Michael",Michael Lankford (Republican of Cunningham),Republican,Cunningham,Campaign Account,No,,Yes
"Hullender, Tony",Tony Hullender (Republican of Signal Mountain),Republican,Signal Mountain,Campaign Account,No,,Yes
"Backus, Anne",Anne Backus (Democrat of Oak Ridge),Democrat,Oak Ridge,Campaign Account,No,,Yes
"Loftis, Lance",Lance Loftis (Democrat of Gallatin),Democrat,Gallatin,Campaign Account,No,,Yes
"Bolton, William",William Bolton (Republican of Athens),Republican,Athens,Campaign Account,No,,Yes
"Giannini, Brett",Brett Giannini (Republican of Atoka),Republican,Atoka,Campaign Account,No,,Yes
"McMahan, Sheila",Sheila McMahan (Democrat of Cosby),Democrat,Cosby,Campaign Account,No,,Yes
"Goldberg, Bryan",Bryan Goldberg (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,Yes
"Smith, Noah",Noah Smith (Republican of Jacksboro),Republican,Jacksboro,Campaign Account,No,,Yes
"Suarez, Paul",Paul Suarez (Republican of Lenoir City),Republican,Lenoir City,Campaign Account,No,,Yes
"Fleming, Jason",Jason Fleming (Republican of Stanton),Republican,Stanton,Campaign Account,No,,Yes
"Powell, Jason",Jason Powell (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 53,Yes
"Helton-Haynes, Esther",Esther Helton-Haynes (Republican of East Ridge),Republican,East Ridge,Campaign Account,Yes,House of Representatives 30,Yes
"West, Beth",Beth West (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,Yes
"Rose, John",John Rose (Republican of Gallatin),Republican,Gallatin,Campaign Account,No,,Yes
"Gilkey, Kyler",Kyler Gilkey (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,Yes
"Lawless, Angie",Angie Lawless (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,Yes
"Romero, Eva",Eva Romero (Republican of Nashville),Republican,Nashville,Campaign Account,No,,Yes
"Roberts, Tim",Tim Roberts (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,Yes
"Cox, Cody",Cody Cox (Republican of Winfield),Republican,Winfield,Campaign Account,No,,No
"Foreman, Michelle",Michelle Foreman (Republican of Franklin),Republican,Franklin,Campaign Account,No,,Yes
"Farmer, Aniya",Aniya Farmer (Democrat of Ashland City),Democrat,Ashland City,Campaign Account,No,,Yes
"Ferry, Matt",Matt Ferry (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,Yes
"Ferry, Matt H.",Matt H. Ferry (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Powell, Jesse",Jesse Powell (Republican of Goodlettsville),Republican,Goodlettsville,Campaign Account,No,,No
"Gentry, John",John Gentry (Republican of Goodlettsville),Republican,Goodlettsville,Campaign Account,No,,Yes
"Gentry, John Anthony",John Anthony Gentry (Independent of Goodlettsville),Independent,Goodlettsville,Campaign Account,No,,No
"Blackburn, Marsha (Federal Pac)",Marsha Blackburn (Federal Pac),Republican,Brentwood,Pac,No,,No
"Cochran, Joni",Joni Cochran (Democrat of Mt. Juliet),Democrat,Mt. Juliet,Campaign Account,No,,Yes
"Vicks, Robert",Robert Vicks (Independent of Dandridge),Independent,Dandridge,Campaign Account,No,,No
"Vetter, Michele",Michele Vetter (Republican of Nashville),Republican,Nashville,Campaign Account,No,,Yes
"Fowler, Jenny",Jenny Fowler (Democrat of Kodak),Democrat,Kodak,Campaign Account,No,,Yes
"Windrow, Brett",Brett Windrow (Democrat of La Vergne),Democrat,La Vergne,Campaign Account,No,,Yes
"Cuevas, Vincent",Vincent Cuevas (Republican of Lewisburg),Republican,Lewisburg,Campaign Account,No,,Yes
"Lundberg, Jon",Jon Lundberg (Republican of Bristol),Republican,Bristol,Pac,No,,No
"Stidham, Gary",Gary Stidham (Republican of Kingsport),Republican,Kingsport,Campaign Account,No,,Yes
"Mai, Teri",Teri Mai (Democrat of Dickinson),Democrat,Dickinson,Campaign Account,No,,Yes
"Scoggin, Victoria",Victoria Scoggin (Republican of Pegram),Republican,Pegram,Campaign Account,No,,No
"Morrell, Kent A.",Kent A. Morrell (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Beavers, Dennis H.",Dennis H. Beavers (Republican of Athens),Republican,Athens,Campaign Account,No,,No
"Hardy, David",David Hardy (Democrat of Franklin),Democrat,Franklin,Campaign Account,No,,Yes
"Louallen, John",John Louallen (Republican of Pegram),Republican,Pegram,Campaign Account,No,,Yes
"Patrick-Wright, Lindsey",Lindsey Patrick-Wright (Democrat of Mount Juliet),Democrat,Mount Juliet,Campaign Account,No,,Yes
"Broadwater, Rodger",Rodger Broadwater (Independent of Limestone),Independent,Limestone,Campaign Account,No,,Yes
"Moos, Rayanne",Rayanne Moos (Democrat of Lawrenceburg),Democrat,Lawrenceburg,Campaign Account,No,,Yes
"Simpson, Ali",Ali Simpson (Democrat of Ten Mile),Democrat,Ten Mile,Campaign Account,No,,Yes
"Hancock, Bill",Bill Hancock (Republican of Nashville),Republican,Nashville,Campaign Account,No,,Yes
"Pinkston, Lauren",Lauren Pinkston (Independent of Nashville),Independent,Nashville,Campaign Account,No,,Yes
"Andreson, Laura",Laura Andreson (Democrat of Franklin),Democrat,Franklin,Campaign Account,No,,Yes
"Lanier, Chris",Chris Lanier (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,Yes
"Cothren, Cade",Cade Cothren (Republican of Lawrenceburg),Republican,Lawrenceburg,Campaign Account,No,,No
"Zachary, Jason",Jason Zachary (Republican of Knoxville),Republican,Knoxville,Pac,Yes,House of Representatives 14,Yes
"Proctor, Mark",Mark Proctor (Democrat of Brentwood),Democrat,Brentwood,Campaign Account,No,,Yes
Tennessee Democratic Caucus,Tennessee Democratic Caucus (Democrat),Democrat,,Pac,No,,No
"Cook, Mandy",Mandy Cook (Democrat of Hendersonville),Democrat,Hendersonville,Campaign Account,No,,Yes
"Mowdy, Monica",Monica Mowdy (Democrat of Crossville),Democrat,Crossville,Campaign Account,No,,Yes
"Wynn, Angela",Angela Wynn (Democrat of Smyrna),Democrat,Smyrna,Campaign Account,No,,Yes
"Maxwell, Stephen Cortney",Stephen Cortney Maxwell (Independent of Nashville),Independent,Nashville,Campaign Account,No,,No
