spender_name,original_spender_name,politician_display,politician_key,amount,year,support_or_oppose,expense_date
Acadia Healthcare,"Acadia Healthcare Company, Inc.",Cameron Sexton (Republican of Nashville),"Sexton, Cameron",2537.82,2019,Support,2019-10-29
Acadia Healthcare,"Acadia Healthcare Company, Inc.",Cameron Sexton (Republican of Crossville),"Sexton, Cameron",2537.82,2019,Support,2019-10-29
Adams And Reese,Adams And Reese Pac,Vince Dean (Republican of East Ridge),"Dean, Vince",797.53,2013,Support,2013-08-26
Adams And Reese,Adams And Reese Pac,Vince Dean (Republican of East Ridge),"Dean, Vince",41.48,2013,Support,2013-08-26
American Conservative Union,American Conservative Union,Diane Black (Republican of Gallatin),"Black, Diane",50000.0,2018,Support,2018-07-30
American Resort Development Association,Arda Roc Pac,Mark Green (Republican of Ashland City),"Green, Mark",1000.0,2016,Support,2016-08-30
Americans For Prosperity,Americans For Prosperity Action,Chris Todd (Republican of Jackson),"Todd, Chris",2750.0,2024,Support,2024-06-27
Americans For Prosperity,Americans For Prosperity Action,Aron Maberry (Republican of Clarksville),"Maberry, Aron",325.82,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Chris Todd (Republican of Jackson),"Todd, Chris",325.82,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Maryville),"Emert, Jason",325.82,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Lafayette),"Emert, Jason",325.82,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,John Ragan (Republican of Oak Ridge),"Ragan, John",325.82,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jon Lundberg (Republican of Bristol),"Lundberg, Jon",325.82,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Chris Todd (Republican of Jackson),"Todd, Chris",325.82,2024,Support,2024-07-16
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Maryville),"Emert, Jason",325.82,2024,Support,2024-07-16
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Lafayette),"Emert, Jason",325.82,2024,Support,2024-07-16
Americans For Prosperity,Americans For Prosperity Action,Jon Lundberg (Republican of Bristol),"Lundberg, Jon",325.82,2024,Support,2024-07-16
Americans For Prosperity,Americans For Prosperity Action,Chris Todd (Republican of Jackson),"Todd, Chris",15.0,2024,Support,2024-07-17
Americans For Prosperity,Americans For Prosperity Action,Chris Todd (Republican of Jackson),"Todd, Chris",2000.0,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Maryville),"Emert, Jason",460.0,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Lafayette),"Emert, Jason",460.0,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,John Ragan (Republican of Oak Ridge),"Ragan, John",1500.0,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Rusty Grills (Republican of Newbern),"Grills, Rusty",1600.0,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jon Lundberg (Republican of Bristol),"Lundberg, Jon",5000.0,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Tim Rudd (Republican of Murfreesboro),"Rudd, Tim",1000.0,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Chris Todd (Republican of Jackson),"Todd, Chris",3280.0,2024,Support,2024-07-16
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Maryville),"Emert, Jason",6700.0,2024,Support,2024-07-16
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Lafayette),"Emert, Jason",6700.0,2024,Support,2024-07-16
Americans For Prosperity,Americans For Prosperity Action,Paul Sherrell (Republican of Sparta),"Sherrell, Paul",1800.4,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Robert Stevens (Republican of Smyrna),"Stevens, Robert",1661.25,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jon Lundberg (Republican of Bristol),"Lundberg, Jon",2484.05,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Tim Rudd (Republican of Murfreesboro),"Rudd, Tim",1816.8,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Scott Cepicky (Republican of Culleoka),"Cepicky, Scott",1603.86,2024,Support,2024-07-09
Americans For Prosperity,Americans For Prosperity Action,Scott Cepicky (Republican of Columbia),"Cepicky, Scott",1603.86,2024,Support,2024-07-09
Americans For Prosperity,Americans For Prosperity Action,Robert Stevens (Republican of Smyrna),"Stevens, Robert",1661.25,2024,Support,2024-07-15
Americans For Prosperity,Americans For Prosperity Action,Paul Sherrell (Republican of Sparta),"Sherrell, Paul",1392.01,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Robert Stevens (Republican of Smyrna),"Stevens, Robert",1174.14,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Jon Lundberg (Republican of Bristol),"Lundberg, Jon",3276.88,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Tim Rudd (Republican of Murfreesboro),"Rudd, Tim",1413.35,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Scott Cepicky (Republican of Culleoka),"Cepicky, Scott",1196.29,2024,Support,2024-07-09
Americans For Prosperity,Americans For Prosperity Action,Scott Cepicky (Republican of Columbia),"Cepicky, Scott",1196.29,2024,Support,2024-07-09
Americans For Prosperity,Americans For Prosperity Action,Robert Stevens (Republican of Smyrna),"Stevens, Robert",1264.25,2024,Support,2024-07-15
Americans For Prosperity,Americans For Prosperity Action,Lee Reeves (Republican of Franklin),"Reeves, Lee",907.35,2024,Support,2024-07-01
Americans For Prosperity,Americans For Prosperity Action,Aron Maberry (Republican of Clarksville),"Maberry, Aron",817.43,2024,Support,2024-07-02
Americans For Prosperity,Americans For Prosperity Action,Chris Todd (Republican of Jackson),"Todd, Chris",940.05,2024,Support,2024-07-02
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Maryville),"Emert, Jason",1726.93,2024,Support,2024-07-02
Americans For Prosperity,Americans For Prosperity Action,Jason Emert (Republican of Lafayette),"Emert, Jason",1726.93,2024,Support,2024-07-02
Americans For Prosperity,Americans For Prosperity Action,Aron Maberry (Republican of Clarksville),"Maberry, Aron",1634.85,2024,Support,2024-07-09
