spender_name,original_name,spender_politician_reference,total_total_since_2012,total_total_since_2017,total_total_since_2022,total_total_since_2025,support_total_since_2012,support_total_since_2017,support_total_since_2022,support_total_since_2025,oppose_total_since_2012,oppose_total_since_2017,oppose_total_since_2022,oppose_total_since_2025
Tennessee Republican Caucus PAC,House Republican Caucus,Tennessee Republican Caucus,7167991.1899999995,3765870.91,2725469.33,12391.920000000002,4941863.67,3260481.1899999995,2266907.17,12391.920000000002,2226127.52,505389.72,458562.1599999999,0.0
Club for Growth - School Freedom Fund,School Freedom Fund,,3636145.1500000004,3636145.1500000004,3636145.1500000004,0.0,2063483.3599999999,2063483.3599999999,2063483.3599999999,0.0,1572661.79,1572661.79,1572661.79,0.0
Tennessee Federation For Children,Tennessee Federation For Children Pac,,2897174.7,1631585.75,960896.9200000002,0.0,2007398.1600000001,1228485.2999999998,568029.49,0.0,889776.54,403100.44999999995,392867.43,0.0
Tennessee Democratic Caucus PAC,Tennessee Democratic Party,Tennessee Democratic Caucus,2245659.54,1217385.65,544486.92,600.0,1470076.19,619515.6499999999,544486.92,600.0,775583.35,597870.0,0.0,0.0
Lt. Gov. Randy McNally PAC,McPac,"McNally, Randy",1939998.99,1939998.99,1041861.9399999998,0.0,1535589.44,1535589.44,1002605.9400000001,0.0,404409.55,404409.55,39256.0,0.0
Tennessee Jobs Now,Tennessee Jobs Now,,1342564.46,1342564.46,0.0,0.0,0.0,0.0,0.0,0.0,1342564.46,1342564.46,0.0,0.0
TennesseeCan,Tennessee Parents/Teachers Putting Students First,,1320181.06,695920.25,358899.04,0.0,1130755.69,606450.6600000001,290261.16000000003,0.0,189425.37,89469.59000000001,68637.88,0.0
Tennesseans for Student Success,Team Kid Pac,,1237496.82,1237496.82,1237496.82,0.0,1237496.82,1237496.82,1237496.82,0.0,0.0,0.0,0.0,0.0
"My Home, My Tennessee","My Home, My Tennessee",,1110993.56,801591.3500000001,506442.58999999997,0.0,1110993.56,801591.3500000001,506442.58999999997,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity Action,Americans For Prosperity Action,,805004.9099999999,805004.9099999999,779709.15,0.0,767190.8999999999,767190.8999999999,741895.1400000001,0.0,37814.01,37814.01,37814.01,0.0
National Association Of Realtors Fund,National Association Of Realtors Fund,,749658.4299999999,403449.61000000004,0.0,0.0,749658.4299999999,403449.61000000004,0.0,0.0,0.0,0.0,0.0,0.0
Planned Parenthood,"Tennessee Advocates For Planned Parenthood, Inc.",,627467.8600000001,605628.65,487941.4,0.0,617218.67,605628.65,487941.4,0.0,10249.19,0.0,0.0,0.0
