spender_name,politician_display,politician_key,net_stance,total_total_15yr,total_total_10yr,total_total_5yr,total_total_2025,total_cycle_2024,total_cycle_2022,total_cycle_2020,total_cycle_2018,support_total_15yr,support_total_10yr,support_total_5yr,support_total_2025,support_cycle_2024,support_cycle_2022,support_cycle_2020,support_cycle_2018,oppose_total_15yr,oppose_total_10yr,oppose_total_5yr,oppose_total_2025,oppose_cycle_2024,oppose_cycle_2022,oppose_cycle_2020,oppose_cycle_2018
Acadia Healthcare,Cameron Sexton (Republican of Crossville),"Sexton, Cameron",Support,2537.82,2537.82,0.0,0.0,0.0,0.0,2537.82,0.0,2537.82,2537.82,0.0,0.0,0.0,0.0,2537.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acadia Healthcare,Cameron Sexton (Republican of Nashville),"Sexton, Cameron",Support,2537.82,2537.82,0.0,0.0,0.0,0.0,2537.82,0.0,2537.82,2537.82,0.0,0.0,0.0,0.0,2537.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams And Reese,Vince Dean (Republican of East Ridge),"Dean, Vince",Support,839.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Conservative Union,Diane Black (Republican of Gallatin),"Black, Diane",Support,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Resort Development Association,Mark Green (Republican of Ashland City),"Green, Mark",Support,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Kent A. Morrell (Republican of Knoxville),"Morrell, Kent A.",Support,79512.20999999999,79512.20999999999,79512.20999999999,0.0,0.0,79512.20999999999,0.0,0.0,79512.20999999999,79512.20999999999,79512.20999999999,0.0,0.0,79512.20999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Jon Lundberg (Republican of Bristol),"Lundberg, Jon",Support,65737.29000000001,65737.29000000001,65737.29000000001,0.0,65737.29000000001,0.0,0.0,0.0,65737.29000000001,65737.29000000001,65737.29000000001,0.0,65737.29000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Michelle Foreman (Republican of Franklin),"Foreman, Michelle",Support,45489.6,45489.6,45489.6,0.0,0.0,45489.6,0.0,0.0,45489.6,45489.6,45489.6,0.0,0.0,45489.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Michelle Foreman (Republican of Nashville),"Foreman, Michelle",Support,45489.6,45489.6,45489.6,0.0,0.0,45489.6,0.0,0.0,45489.6,45489.6,45489.6,0.0,0.0,45489.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Chris Todd (Republican of Jackson),"Todd, Chris",Support,42550.95,42550.95,42550.95,0.0,42550.95,0.0,0.0,0.0,42550.95,42550.95,42550.95,0.0,42550.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Lee Reeves (Republican of Franklin),"Reeves, Lee",Support,40855.549999999996,40855.549999999996,40855.549999999996,0.0,40855.549999999996,0.0,0.0,0.0,40855.549999999996,40855.549999999996,40855.549999999996,0.0,40855.549999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Elaine Davis (Republican of Knoxville),"Davis, Elaine",Support,40626.87000000001,40626.87000000001,40626.87000000001,0.0,40626.87000000001,0.0,0.0,0.0,40626.87000000001,40626.87000000001,40626.87000000001,0.0,40626.87000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Aron Maberry (Republican of Clarksville),"Maberry, Aron",Support,40589.36,40589.36,40589.36,0.0,40589.36,0.0,0.0,0.0,40589.36,40589.36,40589.36,0.0,40589.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americans For Prosperity,Jason Emert (Republican of Lafayette),"Emert, Jason",Support,39806.07000000001,39806.07000000001,39806.07000000001,0.0,39806.07000000001,0.0,0.0,0.0,39806.07000000001,39806.07000000001,39806.07000000001,0.0,39806.07000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
