company_name,year,amount
1-800 Contacts C/O Multistate Associates Inc.,2015,65000.0
111 Motorcars Llc,2025,22500.0
160 Driving Academy,2023,42500.0
180 Health Partners,2017,170000.0
"21St Century Living Services, Inc.",2012,72500.0
21St District Recovery Court,2020,120000.0
25 For Life,2021,85000.0
"34Ed, Llc",2024,225000.0
"34Ed, Llc D/B/A Centegix",2025,205000.0
"3Ls, Inc.",2025,210000.0
50 Can Action Dba/Fccs Action,2025,20000.0
"511 Group, Inc",2012,55000.0
"615Gp, Llc",2021,377500.0
80/20 Entertainment,2013,20000.0
A Better Balance,2020,132500.0
"A Secret Safe Place For Newborns, Inc.",2023,60000.0
A Soldier'S Child,2024,32500.0
A-1 Interlocks Inc,2013,30000.0
Aapan,2021,75000.0
Abbvie Inc.,2015,572500.0
Abe'S Garden,2012,10000.0
Abilis Solutions Corp,2021,122500.0
"Absolute Wireless, Llc",2015,10000.0
Acadia Healthcare,2016,917500.0
Acadia Pharmaceuticals,2022,225000.0
Acadian Ambulance Service Of Tennessee Llc,2019,90000.0
Ace American Insurance Company,2011,662500.0
Acorn Health Of Tennessee Llc,2021,332500.0
Acs Commercial Roofing,2019,42500.0
Act Education Corp.,2024,67500.0
Act The App Association,2024,40000.0
Act. Inc,2012,757500.0
"Action Now Initiative, Llc",2018,510000.0
"Acuity, A Mutual Insurance Company",2023,110000.0
"Adapt Pharma, Inc.",2016,50000.0
"Adenus Group, Llc",2021,52500.0
Adf Action,2023,97500.0
Admiral Enforcement Ii Llc,2025,172500.0
Adobe Systems Incorporated,2017,22500.0
Adtalem Global Education,2018,32500.0
Advance America,2012,140000.0
Advanced Biohealing,2011,62500.0
Advanced Medical Technology Association (Advamed),2020,90000.0
Advantage Capital,2021,345000.0
Advocates For Women'S And Kids' Equality (Awake) Tennessee,2021,125000.0
"Aecom Consult, Inc.",2024,170000.0
Aegerion Pharmaceuticals,2016,40000.0
Aegis Sciences Corporation,2013,1207500.0
"Aero Payments, Inc.",2025,10000.0
Aeroflow Health,2023,197500.0
"Affiliated Computer Services, Inc., A Xerox Company And Its Affiliates",2011,80000.0
"Affinity Partners, Llc",2016,40000.0
"Affordable Equity Partners, Inc.",2022,612500.0
Afton Chemical,2013,55000.0
"Agape Child & Family Services, Inc.",2024,145000.0
Age Of Learning,2024,62500.0
Aglaunch Initiative,2018,192500.0
Agudath Israel Of America,2014,70000.0
Ahios,2022,22500.0
Air Methods Corporation,2016,710000.0
"Air-Conditioning, Heating, And Refrigeration Institute",2014,40000.0
Airbnb,2016,1225000.0
