company_name,filing_period_raw,filing_period_display,end_year,lobbyist_compensation,lobbying_related_expenses,total
1-800 Contacts C/O Multistate Associates Inc.,2015-07-01-2015-12-31,Jul–Dec 2015,2015,37500.0,5000.0,42500.0
1-800 Contacts C/O Multistate Associates Inc.,2015-01-01-2015-06-30,Jan–Jun 2015,2015,17500.0,5000.0,22500.0
111 Motorcars Llc,2025-07-01-2025-12-31,Jul–Dec 2025,2025,17500.0,5000.0,22500.0
160 Driving Academy,2024-07-01-2024-12-31,Jul–Dec 2024,2024,5000.0,5000.0,10000.0
160 Driving Academy,2024-01-01-2024-06-30,Jan–Jun 2024,2024,17500.0,5000.0,22500.0
160 Driving Academy,2023-07-01-2023-12-31,Jul–Dec 2023,2023,5000.0,5000.0,10000.0
180 Health Partners,2018-07-01-2018-12-31,Jul–Dec 2018,2018,37500.0,5000.0,42500.0
180 Health Partners,2018-01-01-2018-06-30,Jan–Jun 2018,2018,37500.0,5000.0,42500.0
180 Health Partners,2017-07-01-2017-12-31,Jul–Dec 2017,2017,37500.0,5000.0,42500.0
180 Health Partners,2017-01-01-2017-06-30,Jan–Jun 2017,2017,37500.0,5000.0,42500.0
"21St Century Living Services, Inc.",2013-07-01-2013-12-31,Jul–Dec 2013,2013,5000.0,5000.0,10000.0
"21St Century Living Services, Inc.",2013-01-01-2013-06-30,Jan–Jun 2013,2013,5000.0,5000.0,10000.0
"21St Century Living Services, Inc.",2012-07-01-2012-12-31,Jul–Dec 2012,2012,5000.0,5000.0,10000.0
"21St Century Living Services, Inc.",2012-01-01-2012-06-30,Jan–Jun 2012,2012,37500.0,5000.0,42500.0
21St District Recovery Court,2025-07-01-2025-12-31,Jul–Dec 2025,2025,5000.0,5000.0,10000.0
21St District Recovery Court,2025-01-01-2025-06-30,Jan–Jun 2025,2025,5000.0,5000.0,10000.0
21St District Recovery Court,2024-07-01-2024-12-31,Jul–Dec 2024,2024,5000.0,5000.0,10000.0
21St District Recovery Court,2024-01-01-2024-06-30,Jan–Jun 2024,2024,5000.0,5000.0,10000.0
21St District Recovery Court,2023-07-01-2023-12-31,Jul–Dec 2023,2023,5000.0,5000.0,10000.0
21St District Recovery Court,2023-01-01-2023-06-30,Jan–Jun 2023,2023,5000.0,5000.0,10000.0
21St District Recovery Court,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
21St District Recovery Court,2022-01-01-2022-06-30,Jan–Jun 2022,2022,5000.0,5000.0,10000.0
21St District Recovery Court,2021-07-01-2021-12-31,Jul–Dec 2021,2021,5000.0,5000.0,10000.0
21St District Recovery Court,2021-01-01-2021-06-30,Jan–Jun 2021,2021,5000.0,5000.0,10000.0
21St District Recovery Court,2020-07-01-2020-12-31,Jul–Dec 2020,2020,5000.0,5000.0,10000.0
21St District Recovery Court,2020-01-01-2020-06-30,Jan–Jun 2020,2020,5000.0,5000.0,10000.0
25 For Life,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
25 For Life,2022-01-01-2022-06-30,Jan–Jun 2022,2022,17500.0,5000.0,22500.0
25 For Life,2021-07-01-2021-12-31,Jul–Dec 2021,2021,5000.0,5000.0,10000.0
25 For Life,2021-01-01-2021-06-30,Jan–Jun 2021,2021,37500.0,5000.0,42500.0
"34Ed, Llc",2024-07-01-2024-12-31,Jul–Dec 2024,2024,75000.0,37500.0,112500.0
"34Ed, Llc",2024-01-01-2024-06-30,Jan–Jun 2024,2024,75000.0,37500.0,112500.0
"34Ed, Llc D/B/A Centegix",2025-07-01-2025-12-31,Jul–Dec 2025,2025,75000.0,17500.0,92500.0
"34Ed, Llc D/B/A Centegix",2025-01-01-2025-06-30,Jan–Jun 2025,2025,75000.0,37500.0,112500.0
"3Ls, Inc.",2025-07-01-2025-12-31,Jul–Dec 2025,2025,125000.0,5000.0,130000.0
"3Ls, Inc.",2025-01-01-2025-06-30,Jan–Jun 2025,2025,75000.0,5000.0,80000.0
3M Company,2025-07-01-2025-12-31,Jul–Dec 2025,2025,17500.0,5000.0,22500.0
3M Company,2025-01-01-2025-06-30,Jan–Jun 2025,2025,17500.0,5000.0,22500.0
3M Company,2024-07-01-2024-12-31,Jul–Dec 2024,2024,17500.0,5000.0,22500.0
3M Company,2024-01-01-2024-06-30,Jan–Jun 2024,2024,17500.0,5000.0,22500.0
3M Company,2023-07-01-2023-12-31,Jul–Dec 2023,2023,17500.0,5000.0,22500.0
3M Company,2023-01-01-2023-06-30,Jan–Jun 2023,2023,17500.0,5000.0,22500.0
3M Company,2022-07-01-2022-12-31,Jul–Dec 2022,2022,17500.0,5000.0,22500.0
3M Company,2022-01-01-2022-06-30,Jan–Jun 2022,2022,17500.0,5000.0,22500.0
3M Company,2021-07-01-2021-12-31,Jul–Dec 2021,2021,17500.0,5000.0,22500.0
3M Company,2021-01-01-2021-06-30,Jan–Jun 2021,2021,17500.0,5000.0,22500.0
3M Company,2020-07-01-2020-12-31,Jul–Dec 2020,2020,17500.0,5000.0,22500.0
3M Company,2020-01-01-2020-06-30,Jan–Jun 2020,2020,17500.0,5000.0,22500.0
3M Company,2019-07-01-2019-12-31,Jul–Dec 2019,2019,17500.0,5000.0,22500.0
3M Company,2019-01-01-2019-06-30,Jan–Jun 2019,2019,17500.0,5000.0,22500.0
3M Company,2018-07-01-2018-12-31,Jul–Dec 2018,2018,17500.0,5000.0,22500.0
3M Company,2018-01-01-2018-06-30,Jan–Jun 2018,2018,17500.0,5000.0,22500.0
3M Company,2017-07-01-2017-12-31,Jul–Dec 2017,2017,17500.0,5000.0,22500.0
3M Company,2017-01-01-2017-06-30,Jan–Jun 2017,2017,17500.0,5000.0,22500.0
3M Company,2016-07-01-2016-12-31,Jul–Dec 2016,2016,17500.0,5000.0,22500.0
3M Company,2016-01-01-2016-06-30,Jan–Jun 2016,2016,17500.0,5000.0,22500.0
3M Company,2015-07-01-2015-12-31,Jul–Dec 2015,2015,17500.0,5000.0,22500.0
3M Company,2015-01-01-2015-06-30,Jan–Jun 2015,2015,5000.0,5000.0,10000.0
3M Company,2014-07-01-2014-12-31,Jul–Dec 2014,2014,17500.0,5000.0,22500.0
3M Company,2014-01-01-2014-06-30,Jan–Jun 2014,2014,17500.0,5000.0,22500.0
3M Company,2013-07-01-2013-12-31,Jul–Dec 2013,2013,17500.0,5000.0,22500.0
3M Company,2013-01-01-2013-06-30,Jan–Jun 2013,2013,37500.0,5000.0,42500.0
3M Company,2012-07-01-2012-12-31,Jul–Dec 2012,2012,17500.0,5000.0,22500.0
3M Company,2012-01-01-2012-06-30,Jan–Jun 2012,2012,37500.0,5000.0,42500.0
3M Company,2011-04-01-2011-12-31,Apr–Dec 2011,2011,37500.0,5000.0,42500.0
3M Company,2010-10-01-2011-03-31,Oct–Mar 2011,2011,37500.0,5000.0,42500.0
50 Can Action Dba/Fccs Action,2025-07-01-2025-12-31,Jul–Dec 2025,2025,5000.0,5000.0,10000.0
50 Can Action Dba/Fccs Action,2025-01-01-2025-06-30,Jan–Jun 2025,2025,5000.0,5000.0,10000.0
"511 Group, Inc",2013-07-01-2013-12-31,Jul–Dec 2013,2013,5000.0,5000.0,10000.0
"511 Group, Inc",2013-01-01-2013-06-30,Jan–Jun 2013,2013,17500.0,5000.0,22500.0
"511 Group, Inc",2012-07-01-2012-12-31,Jul–Dec 2012,2012,17500.0,5000.0,22500.0
"615Gp, Llc",2025-07-01-2025-12-31,Jul–Dec 2025,2025,75000.0,5000.0,80000.0
"615Gp, Llc",2025-01-01-2025-06-30,Jan–Jun 2025,2025,37500.0,5000.0,42500.0
"615Gp, Llc",2024-07-01-2024-12-31,Jul–Dec 2024,2024,75000.0,5000.0,80000.0
"615Gp, Llc",2024-01-01-2024-06-30,Jan–Jun 2024,2024,37500.0,5000.0,42500.0
