company_name,total_since_2011,total_since_2017,total_since_2022,total_since_2025,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,link
Tennessee Hospital Association,8332500.0,5112500.0,2190000.0,635000.0,292500.0,405000.0,455000.0,342500.0,355000.0,542500.0,750000.0,775000.0,600000.0,592500.0,650000.0,650000.0,430000.0,510000.0,472500.0,572500.0,635000.0,
Tennessee Health Care Association,7750000.0,4727500.0,2127500.0,422500.0,542500.0,492500.0,572500.0,572500.0,460000.0,460000.0,472500.0,485000.0,472500.0,472500.0,535000.0,535000.0,585000.0,535000.0,535000.0,635000.0,422500.0,
Tennessee Automotive Association,6650000.0,4465000.0,2127500.0,510000.0,322500.0,372500.0,310000.0,322500.0,372500.0,360000.0,410000.0,410000.0,410000.0,460000.0,472500.0,472500.0,522500.0,672500.0,472500.0,472500.0,510000.0,
At&T,6615000.0,3090000.0,990000.0,210000.0,950000.0,675000.0,812500.0,575000.0,605000.0,575000.0,485000.0,472500.0,510000.0,460000.0,360000.0,410000.0,360000.0,360000.0,210000.0,210000.0,210000.0,
Tennessee Road Builders Association,6100000.0,3150000.0,1225000.0,262500.0,412500.0,400000.0,550000.0,500000.0,350000.0,350000.0,600000.0,600000.0,425000.0,450000.0,400000.0,350000.0,300000.0,350000.0,350000.0,262500.0,262500.0,
Tennessee Medical Association,5160000.0,4302500.0,2440000.0,610000.0,65000.0,102500.0,160000.0,65000.0,102500.0,160000.0,160000.0,210000.0,260000.0,260000.0,360000.0,460000.0,522500.0,610000.0,610000.0,610000.0,610000.0,
Tennessee Fuel & Convenience Store Association,5100000.0,2765000.0,1342500.0,320000.0,400000.0,397500.0,472500.0,385000.0,422500.0,402500.0,320000.0,332500.0,350000.0,225000.0,282500.0,282500.0,282500.0,370000.0,370000.0,282500.0,320000.0,
Advance Financial,4960000.0,3490000.0,1440000.0,360000.0,22500.0,32500.0,20000.0,90000.0,330000.0,310000.0,360000.0,360000.0,360000.0,460000.0,460000.0,310000.0,460000.0,360000.0,360000.0,360000.0,360000.0,
Ballad Health,4767500.0,3345000.0,1785000.0,492500.0,245000.0,245000.0,245000.0,245000.0,245000.0,245000.0,237500.0,205000.0,295000.0,322500.0,322500.0,310000.0,310000.0,260000.0,460000.0,572500.0,492500.0,
National Healthcare Corp.,4757500.0,2852500.0,1040000.0,260000.0,422500.0,160000.0,210000.0,260000.0,410000.0,210000.0,430000.0,385000.0,385000.0,385000.0,385000.0,385000.0,272500.0,260000.0,260000.0,260000.0,260000.0,
Tennessee Municipal League,4450000.0,2827500.0,1265000.0,360000.0,160000.0,160000.0,160000.0,222500.0,272500.0,322500.0,322500.0,322500.0,322500.0,322500.0,322500.0,322500.0,272500.0,272500.0,272500.0,360000.0,360000.0,
Tennessee Electric Cooperative Association,4195000.0,2640000.0,1190000.0,260000.0,260000.0,272500.0,260000.0,210000.0,205000.0,260000.0,360000.0,260000.0,260000.0,310000.0,310000.0,310000.0,260000.0,310000.0,310000.0,310000.0,260000.0,
Tennessee Bar Association,4187500.0,2547500.0,902500.0,260000.0,160000.0,172500.0,210000.0,190000.0,260000.0,310000.0,360000.0,310000.0,272500.0,410000.0,442500.0,260000.0,260000.0,210000.0,222500.0,210000.0,260000.0,
Wine And Spirit Wholesalers of Tennessee,4170000.0,3270000.0,1520000.0,510000.0,222500.0,202500.0,172500.0,210000.0,172500.0,102500.0,102500.0,140000.0,360000.0,310000.0,410000.0,360000.0,310000.0,360000.0,240000.0,410000.0,510000.0,
Methodist Le Bonheur Healthcare,4145000.0,2372500.0,840000.0,260000.0,360000.0,360000.0,410000.0,410000.0,410000.0,160000.0,172500.0,210000.0,610000.0,192500.0,260000.0,310000.0,160000.0,160000.0,210000.0,210000.0,260000.0,
Tennessee Education Association,4065000.0,2885000.0,1272500.0,362500.0,160000.0,160000.0,160000.0,122500.0,122500.0,152500.0,242500.0,380000.0,500000.0,392500.0,205000.0,222500.0,292500.0,242500.0,305000.0,362500.0,362500.0,
Tennessee Trial Lawyers Association,3982500.0,1890000.0,952500.0,272500.0,260000.0,260000.0,605000.0,372500.0,375000.0,375000.0,242500.0,122500.0,122500.0,172500.0,210000.0,222500.0,210000.0,210000.0,260000.0,210000.0,272500.0,
Tennessee Federation For Children,3967500.0,2592500.0,1595000.0,450000.0,0.0,0.0,0.0,10000.0,357500.0,327500.0,402500.0,277500.0,122500.0,75000.0,430000.0,210000.0,160000.0,172500.0,172500.0,800000.0,450000.0,
Vanderbilt University,3935000.0,2552500.0,1140000.0,310000.0,45000.0,45000.0,90000.0,102500.0,185000.0,242500.0,400000.0,362500.0,300000.0,350000.0,330000.0,222500.0,210000.0,260000.0,260000.0,310000.0,310000.0,
Eastman Chemical Company,3912500.0,2352500.0,1052500.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,272500.0,260000.0,
