entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Tennessee Hospital Association,,7877500.0,5887500.0,2620000.0,635000.0,True,Company,0,1931965.0,1497215.0,872795.0,241800.0,True,0.0,0.0,0.0,0.0,0.0,False,9809465.0,7384715.0,3492795.0,876800.0,True,True,True,True
Tennessee Health Care Association,,7177500.0,5212500.0,2712500.0,422500.0,True,Company,0,1812650.0,1288400.0,706500.0,188000.0,True,0.0,0.0,0.0,0.0,0.0,False,8990150.0,6500900.0,3419000.0,610500.0,True,True,True,True
Advance Financial,,4940000.0,3850000.0,1900000.0,360000.0,True,Company,0,3260299.0,2833249.0,1428649.0,656000.0,True,0.0,0.0,0.0,0.0,0.0,False,8200299.0,6683249.0,3328649.0,1016000.0,True,True,True,True
Tennessee Association Of Realtors,,1832500.0,1752500.0,692500.0,160000.0,True,Company,0,4466150.0,3800250.0,1882750.0,283500.0,True,0.0,1860651.99,1394264.85,506442.59,0.0,True,8159301.99,6947014.85,3081692.59,443500.0,True,True,True,True
Tennessee Road Builders Association,,5550000.0,3750000.0,1525000.0,262500.0,True,Company,0,2531046.0,2164800.0,1117500.0,336500.0,True,0.0,0.0,0.0,0.0,0.0,False,8081046.0,5914800.0,2642500.0,599000.0,True,True,True,True
At&T,,5802500.0,3562500.0,1350000.0,210000.0,True,Company,0,1873350.0,1134350.0,450250.0,65000.0,True,0.0,0.0,0.0,0.0,0.0,False,7675850.0,4696850.0,1800250.0,275000.0,True,True,True,True
Tennessee Automotive Association,,6340000.0,4875000.0,2650000.0,510000.0,True,Company,0,1305084.0,974234.0,485009.0,126000.0,True,0.0,0.0,0.0,0.0,0.0,False,7645084.0,5849234.0,3135009.0,636000.0,True,True,True,True
Tennessee Federation For Children,,3967500.0,2870000.0,1755000.0,450000.0,True,Company,0,565427.0,180598.0,51750.0,9000.0,True,0.0,2897174.7,2240662.59,963792.04,0.0,True,7430101.7,5291260.59,2770542.04,459000.0,True,True,True,True
Wine And Spirit Wholesalers Of Tennessee,,3997500.0,3410000.0,1830000.0,510000.0,True,Company,0,3313375.0,2881750.0,1571600.0,313500.0,True,0.0,0.0,0.0,0.0,0.0,False,7310875.0,6291750.0,3401600.0,823500.0,True,True,True,True
Tennessee Medical Association,,5000000.0,4512500.0,2962500.0,610000.0,True,Company,0,2011351.0,1367550.0,587000.0,500.0,True,0.0,39966.17,19004.13,0.0,0.0,True,7051317.17,5899054.13,3549500.0,610500.0,True,True,True,True
Hca Healthcare,,4540000.0,3900000.0,2100000.0,710000.0,True,Company,0,2487700.0,2215550.0,1702500.0,500900.0,True,0.0,0.0,0.0,0.0,0.0,False,7027700.0,6115550.0,3802500.0,1210900.0,True,True,True,True
Tennessee Education Association,,3905000.0,3265000.0,1565000.0,362500.0,True,Company,0,2307950.0,1468090.0,633800.0,28000.0,True,0.0,241088.19,239876.95,48010.35,0.0,True,6454038.19,4972966.95,2246810.35,390500.0,True,True,True,True
Tennesseecan,,3367500.0,2432500.0,1445000.0,412500.0,True,Company,0,1260190.0,559250.0,109300.0,0.0,True,0.0,1386157.28,855273.17,445711.82,0.0,True,6013847.28,3847023.17,2000011.82,412500.0,True,True,True,True
National Healthcare Corp.,,4547500.0,3237500.0,1312500.0,260000.0,True,Company,0,734250.0,379000.0,94500.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,5281750.0,3616500.0,1407000.0,260000.0,True,True,True,True
Tennessee Electric Cooperative Association,,3935000.0,2900000.0,1450000.0,260000.0,True,Company,0,1289832.0,933582.0,419582.0,65500.0,True,0.0,0.0,0.0,0.0,0.0,False,5224832.0,3833582.0,1869582.0,325500.0,True,True,True,True
Tennessee Fuel & Convenience Store Association,,4627500.0,3097500.0,1625000.0,320000.0,True,Company,0,533500.0,355600.0,176000.0,66000.0,True,0.0,0.0,0.0,0.0,0.0,False,5161000.0,3453100.0,1801000.0,386000.0,True,True,True,True
Ballad Health,,4522500.0,3550000.0,2095000.0,492500.0,True,Company,0,275150.0,247650.0,207500.0,86250.0,True,0.0,10737.87,10737.87,0.0,0.0,True,4808387.87,3808387.87,2302500.0,578750.0,True,True,True,True
