company_name,filing_period_display,filing_period_raw,end_year,lobbyist_compensation,lobbying_related_expenses
1-800 Contacts C/O Multistate Associates Inc.,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"$25,000 - $50,000","Less than $10,000"
1-800 Contacts C/O Multistate Associates Inc.,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$10,000 - $25,000","Less than $10,000"
111 Motorcars Llc,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
160 Driving Academy,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
160 Driving Academy,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
160 Driving Academy,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
180 Health Partners,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$25,000 - $50,000","Less than $10,000"
180 Health Partners,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$25,000 - $50,000","Less than $10,000"
180 Health Partners,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$25,000 - $50,000","Less than $10,000"
180 Health Partners,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$25,000 - $50,000","Less than $10,000"
"21St Century Living Services, Inc.",Jul–Dec 2013,2013-07-01-2013-12-31,2013,"Less than $10,000","Less than $10,000"
"21St Century Living Services, Inc.",Jan–Jun 2013,2013-01-01-2013-06-30,2013,"Less than $10,000","Less than $10,000"
"21St Century Living Services, Inc.",Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
"21St Century Living Services, Inc.",Jan–Jun 2012,2012-01-01-2012-06-30,2012,"$25,000 - $50,000","Less than $10,000"
21St District Recovery Court,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
21St District Recovery Court,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
25 For Life,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
25 For Life,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
25 For Life,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
25 For Life,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
"34Ed, Llc",Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$50,000 - $100,000","$25,000 - $50,000"
"34Ed, Llc",Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$50,000 - $100,000","$25,000 - $50,000"
"34Ed, Llc D/B/A Centegix",Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$50,000 - $100,000","$10,000 - $25,000"
"34Ed, Llc D/B/A Centegix",Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$50,000 - $100,000","$25,000 - $50,000"
"3Ls, Inc.",Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$100,000 - $150,000","Less than $10,000"
"3Ls, Inc.",Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$50,000 - $100,000","Less than $10,000"
3M Company,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
3M Company,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
3M Company,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$10,000 - $25,000","Less than $10,000"
3M Company,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
