company_name,total_all,total_since_2016,total_since_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,PAC Address,Links
Tennessee Hospital Association,8312500.0,5867500.0,2600000.0,455000.0,342500.0,355000.0,542500.0,750000.0,775000.0,600000.0,592500.0,650000.0,650000.0,426000.0,502000.0,468500.0,568500.0,635000.0,5201 VIRGINIA WAY,https://tha.com/advocacy/pac/
Tennessee Health Care Association,7710000.0,5200500.0,2708500.0,568500.0,568500.0,452000.0,452000.0,468500.0,485000.0,468500.0,468500.0,535000.0,535000.0,585000.0,535000.0,535000.0,635000.0,418500.0,"5120 VIRGINIA WAY, SUITE A21",
Tennessee Automotive Association,6562000.0,4819000.0,2626000.0,302000.0,318500.0,368500.0,352000.0,402000.0,402000.0,402000.0,452000.0,468500.0,468500.0,518500.0,668500.0,468500.0,468500.0,502000.0,2521 WHITE AVE,
AT&T,6539000.0,3486500.0,1310000.0,812500.0,575000.0,605000.0,575000.0,485000.0,468500.0,502000.0,452000.0,352000.0,402000.0,352000.0,352000.0,202000.0,202000.0,202000.0,,
Tennessee Road Builders Association,6100000.0,3750000.0,1525000.0,550000.0,500000.0,350000.0,350000.0,600000.0,600000.0,425000.0,450000.0,400000.0,350000.0,300000.0,350000.0,350000.0,262500.0,262500.0,P.O. BOX 190535,
Tennessee Medical Association,5044000.0,4436500.0,2926500.0,152000.0,57000.0,94500.0,152000.0,152000.0,202000.0,252000.0,252000.0,352000.0,452000.0,518500.0,602000.0,602000.0,602000.0,602000.0,,
Tennessee Fuel & Convenience Store Association,4884000.0,2933500.0,1545000.0,464500.0,377000.0,414500.0,390500.0,304000.0,316500.0,330000.0,209000.0,266500.0,266500.0,266500.0,354000.0,354000.0,266500.0,304000.0,,
Advance Financial,4832000.0,3770000.0,1860000.0,4000.0,78000.0,326000.0,302000.0,352000.0,352000.0,352000.0,452000.0,452000.0,302000.0,452000.0,352000.0,352000.0,352000.0,352000.0,,
National Healthcare Corp.,4685500.0,3201500.0,1276500.0,202000.0,252000.0,402000.0,202000.0,426000.0,385000.0,385000.0,385000.0,385000.0,385000.0,268500.0,252000.0,252000.0,252000.0,252000.0,,
Ballad Health,4611500.0,3470000.0,2063000.0,229000.0,229000.0,229000.0,229000.0,225500.0,189000.0,279000.0,318500.0,318500.0,302000.0,302000.0,252000.0,452000.0,568500.0,488500.0,,
HCA Healthcare,4580000.0,3820000.0,2060000.0,152000.0,152000.0,152000.0,152000.0,152000.0,252000.0,352000.0,352000.0,352000.0,452000.0,302000.0,252000.0,302000.0,502000.0,702000.0,"P.O. BOX 550, ONE PARK PLAZA",
Tennessee Municipal League,4330000.0,3070000.0,1497500.0,152000.0,214500.0,264500.0,314500.0,314500.0,314500.0,314500.0,314500.0,314500.0,314500.0,264500.0,264500.0,264500.0,352000.0,352000.0,,
Tennessee Electric Cooperative Association,4079000.0,2820000.0,1410000.0,252000.0,202000.0,201000.0,252000.0,352000.0,252000.0,252000.0,302000.0,302000.0,302000.0,252000.0,302000.0,302000.0,302000.0,252000.0,,
Tennessee Bar Association,4071500.0,2785500.0,1126500.0,202000.0,178000.0,252000.0,302000.0,352000.0,302000.0,264500.0,402000.0,438500.0,252000.0,252000.0,202000.0,218500.0,202000.0,252000.0,,
Wine And Spirit Wholesalers of Tennessee,4046000.0,3322000.0,1786000.0,168500.0,202000.0,164500.0,94500.0,94500.0,128000.0,352000.0,302000.0,402000.0,352000.0,302000.0,352000.0,228000.0,402000.0,502000.0,,
Methodist Le Bonheur Healthcare,4029000.0,2506500.0,960000.0,402000.0,402000.0,402000.0,152000.0,164500.0,202000.0,602000.0,188500.0,252000.0,302000.0,152000.0,152000.0,202000.0,202000.0,252000.0,,
Tennessee Education Association,4005000.0,3241000.0,1557000.0,152000.0,114500.0,114500.0,144500.0,238500.0,376000.0,500000.0,388500.0,201000.0,218500.0,288500.0,238500.0,305000.0,362500.0,362500.0,,
Tennessee Trial Lawyers Association,3902500.0,1940500.0,1126500.0,605000.0,368500.0,375000.0,375000.0,238500.0,114500.0,114500.0,164500.0,202000.0,218500.0,202000.0,202000.0,252000.0,202000.0,268500.0,629 WOODLAND STREET,
